month,trust,region,total_attendances,type1_attendances,total_over_4hrs,type1_over_4hrs,breaches_4_to_12hr,breaches_12hr_plus
2025-04,SUSSEX COMMUNITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,11779,0,132,0,0,0
2025-04,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,11422,8544,4014,3997,574,368
2025-04,TETBURY HOSPITAL TRUST LTD,NHS ENGLAND SOUTH WEST,536,0,0,0,0,0
2025-04,THE CHRISTIE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,0,0,0,0,0,0
2025-04,THE DUDLEY GROUP NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,13684,9578,3482,3362,1921,145
2025-04,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,12770,5926,3223,3174,583,78
2025-04,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,19923,11926,4943,4751,738,85
2025-04,THE PINN UNREGISTERED WIC,NHS ENGLAND LONDON,889,0,0,0,0,0
2025-04,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NHS ENGLAND EAST OF ENGLAND,9386,7467,3194,3194,379,87
2025-04,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NHS ENGLAND EAST OF ENGLAND,7816,6646,3021,3021,772,111
2025-04,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,0,0,0,0,0,0
2025-04,THE ROTHERHAM NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,8977,8977,2806,2806,525,3
2025-04,THE ROYAL WOLVERHAMPTON NHS TRUST,NHS ENGLAND MIDLANDS,20602,12293,3715,3523,989,244
2025-04,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS,13251,10930,7027,6438,327,1362
2025-04,THE WALTON CENTRE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,0,0,0,0,0,0
2025-04,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,9583,6336,2628,2613,202,23
2025-04,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,20004,16201,6400,5913,998,969
2025-04,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND LONDON,12998,12998,3829,3829,427,126
2025-04,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,12886,11577,4690,4553,628,10
2025-04,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,36554,34366,14739,14652,2801,2096
2025-04,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,17384,14960,5599,5377,1107,486
2025-04,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS ENGLAND MIDLANDS,19197,11718,5227,4898,70,29
2025-04,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,19084,13652,5603,5603,902,185
2025-04,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,27463,18237,8566,8556,1219,386
2025-04,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NHS ENGLAND MIDLANDS,23204,21293,9346,9211,1390,724
2025-04,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,12004,9021,3440,3380,658,443
2025-04,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS ENGLAND MIDLANDS,22945,13944,7925,7686,1119,930
2025-04,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,NHS ENGLAND SOUTH WEST,14545,9037,4794,4695,506,583
2025-04,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,28828,25328,9616,9316,832,723
2025-04,URGENT CARE CENTRE (QMS),NHS ENGLAND LONDON,7961,0,133,0,0,0
2025-04,WALSALL HEALTHCARE NHS TRUST,NHS ENGLAND MIDLANDS,13293,9005,3250,3149,987,238
2025-04,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,10169,6929,3627,3541,762,663
2025-04,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,NHS ENGLAND EAST OF ENGLAND,15401,8283,2537,2522,699,30
2025-04,WEST SUFFOLK NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,8326,7602,1570,1570,285,118
2025-04,WHITSTABLE MEDICAL PRACTICE,NHS ENGLAND SOUTH EAST,4951,0,0,0,0,0
2025-04,WHITTINGTON HEALTH NHS TRUST,NHS ENGLAND LONDON,8831,8831,2619,2619,243,222
2025-04,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,4134,0,265,0,0,0
2025-04,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,10382,7388,3886,3758,469,783
2025-04,WOKING WALK IN CENTRE,NHS ENGLAND SOUTH EAST,2528,0,58,0,0,0
2025-04,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NHS ENGLAND MIDLANDS,19507,13649,7623,7557,793,880
2025-04,WORKINGTON HEALTH LIMITED,NHS ENGLAND NORTH EAST AND YORKSHIRE,361,0,0,0,0,0
2025-04,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NHS ENGLAND NORTH WEST,12138,6430,3469,3394,1095,444
2025-04,WYE VALLEY NHS TRUST,NHS ENGLAND MIDLANDS,7114,5878,3041,3041,429,277
2025-04,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,17739,10390,6430,6046,852,628
2025-05,AIREDALE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,6412,6214,2200,2200,270,47
2025-05,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,6141,6141,833,833,0,0
